fold_id,model_name,segment,rebill_period_t,expected_active_users,actual_active_users,expected_ltv_usd,actual_ltv_usd,n_rows
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_WEST,5,3.5483,2.0,127.11,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_EU_WEST,6,3.1982,2.0,179.88,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_WEST,4,2.889,3.0,47.67,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_WEST,5,2.1039,2.0,82.38,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_EU_WEST,6,1.8197,2.0,112.41,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_LATAM,4,8.5618,6.0,141.27,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_LATAM,5,7.6282,5.0,267.01,181.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_LATAM,6,6.8017,4.0,378.89,247.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_LATAM,4,6.3481,6.0,104.74,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_LATAM,5,4.3689,5.0,170.76,181.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_LATAM,6,3.2929,4.0,221.67,247.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_MENA,4,4.9951,3.0,82.42,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_MENA,5,4.2691,3.0,152.86,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_MENA,6,3.6503,2.0,213.09,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_MENA,4,3.3044,3.0,54.52,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_MENA,5,2.7322,3.0,99.6,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_MENA,6,2.0934,2.0,134.14,132.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_CA,4,4.2117,3.0,69.49,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_CA,5,3.6426,2.0,129.6,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_CA,6,3.2053,2.0,182.48,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_CA,4,2.8679,3.0,47.32,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_CA,5,2.329,2.0,85.75,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_CA,6,1.9088,2.0,117.24,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_US,4,4.1719,3.0,68.84,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_US,5,3.6255,2.0,128.66,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_NA_US,6,3.2791,2.0,182.76,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_US,4,2.858,3.0,47.16,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_US,5,2.267,2.0,84.56,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_NA_US,6,1.8577,2.0,115.21,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_ROW,4,3.9696,3.0,65.5,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_ROW,5,3.4949,2.0,123.16,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_ROW,6,2.9058,2.0,171.11,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_ROW,4,2.5711,3.0,42.42,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_ROW,5,1.9695,2.0,74.92,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_ROW,6,1.6822,2.0,102.68,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SOUTH_ASIA,4,4.4684,3.0,73.73,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SOUTH_ASIA,5,3.9363,2.0,138.68,82.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SOUTH_ASIA,6,3.5438,2.0,197.15,115.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SOUTH_ASIA,4,3.0549,3.0,50.41,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SOUTH_ASIA,5,2.4376,2.0,90.63,82.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SOUTH_ASIA,6,1.8454,2.0,121.08,115.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SSA,4,4.7272,3.0,78.0,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SSA,5,4.0695,3.0,145.15,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_SSA,6,3.4008,2.0,201.26,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SSA,4,3.2361,3.0,53.4,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SSA,5,2.5423,3.0,95.34,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_SSA,6,2.1351,2.0,130.57,132.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_UK,4,4.6073,3.0,76.02,49.5,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_UK,5,4.1803,3.0,145.0,99.0,1
fold_1,Baseline_Survival,2021-W16_SUB_MONTHLY_UK,6,3.7266,2.0,206.48,132.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_UK,4,3.2338,3.0,53.36,49.5,1
fold_1,BdW,2021-W16_SUB_MONTHLY_UK,5,2.84,3.0,100.22,99.0,1
fold_1,BdW,2021-W16_SUB_MONTHLY_UK,6,2.3238,2.0,138.56,132.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_ANZ,4,4.494,3.0,74.15,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_ANZ,5,4.0838,3.0,141.53,99.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_ANZ,6,3.5529,2.0,200.16,132.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_ANZ,4,3.1788,3.0,52.45,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_ANZ,5,2.6635,3.0,96.4,99.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_ANZ,6,2.1352,2.0,131.63,132.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_EA,4,4.0437,3.0,66.72,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_EA,5,3.4493,2.0,123.63,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_EA,6,3.1444,2.0,175.52,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_EA,4,2.7268,3.0,44.99,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_EA,5,2.1804,2.0,80.97,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_EA,6,1.6585,2.0,108.33,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_SEA,4,4.4109,3.0,72.78,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_SEA,5,3.7215,2.0,134.18,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_APAC_SEA,6,3.4083,2.0,190.42,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_SEA,4,2.9529,3.0,48.72,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_SEA,5,2.3192,2.0,86.99,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_APAC_SEA,6,1.8208,2.0,117.03,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_CIS,4,8.8741,6.0,146.42,99.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_CIS,5,7.6159,5.0,272.03,181.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_CIS,6,6.697,4.0,382.22,247.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_CIS,4,5.7406,6.0,94.72,99.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_CIS,5,4.4343,5.0,165.61,181.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_CIS,6,3.6937,4.0,228.74,247.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_DACH,4,4.499,3.0,74.23,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_DACH,5,3.6398,2.0,134.29,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_DACH,6,3.4735,2.0,191.6,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_DACH,4,2.9323,3.0,48.38,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_DACH,5,2.3162,2.0,86.6,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_DACH,6,2.0516,2.0,120.45,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_EAST,4,4.1719,3.0,68.84,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_EAST,5,3.7303,2.0,130.39,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_EAST,6,3.1551,2.0,182.45,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_EAST,4,2.8247,3.0,46.61,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_EAST,5,2.2,2.0,82.91,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_EAST,6,1.7867,2.0,112.39,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_NORTH,4,3.6793,2.0,60.71,33.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_NORTH,5,3.1955,2.0,113.43,66.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_NORTH,6,2.6694,1.0,157.48,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_NORTH,4,2.2555,2.0,37.22,33.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_NORTH,5,1.592,2.0,63.48,66.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_NORTH,6,1.271,1.0,84.46,82.5,1
