fold_id,model_name,segment,fit_region,confidence_weight,regressor,coefficient,p_value
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_gads_search,460.1138,0.228469
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_metads_fb,575.8643,0.737287
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_gads_youtube,-1368.8847,0.286577
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_metads_inst,615.1161,0.764758
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_tiktok,53.0829,0.096512
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,spend_gads_discover,-346.994,0.042413
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,fourier_sin_q1,21.777,0.523633
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,fourier_cos_q1,385.4443,0.243234
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,revenue_anomaly_score,-133.4581,0.721989
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,is_structural_peak,-288.3205,0.550316
fold_1,Baseline_MMM_Reg,Total_Macro_EU_NORTH,EU_NORTH,0,is_sep_nov_trough,-585.5233,0.165415
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,const,134.7252,0.770473
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_gads_search,-99.2045,0.373321
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_metads_fb,899.903,0.423251
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_gads_youtube,784.3976,0.214316
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_metads_inst,-1057.8281,0.23195
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_tiktok,47.1544,0.344914
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,spend_gads_discover,-252.1984,0.530217
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,fourier_sin_q1,-112.7918,0.052683
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,fourier_cos_q1,-270.9888,0.643969
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,revenue_anomaly_score,609.4392,0.257635
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,is_structural_peak,554.6932,0.125393
fold_1,Baseline_MMM_Reg,Total_Macro_EU_SOUTH,EU_SOUTH,0,is_sep_nov_trough,-362.6869,0.172269
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,const,-108.441,0.209647
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_gads_search,1813.968,0.166321
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_metads_fb,1163.0353,0.473623
